serial_number,fold,true_biotreat,predicted_biotreat,confidence,served_population,population_bucket,N2O_true_EF,N2O_pred_EF_mean,N2O_pred_EF_p2.5,N2O_pred_EF_p97.5,CH4_true_EF,CH4_pred_EF_mean,CH4_pred_EF_p2.5,CH4_pred_EF_p97.5
9587,1,OD,OD,0.4156346720457077,45000.0,large: 10000+,0.1650154106879044,0.9119019508361816,0.11978659778833389,2.563443660736084,0.02294083003071408,0.021174240857362747,0.00652714679017663,0.04883534461259842
9601,1,OD,OD,0.5689094196408987,101500.0,large: 10000+,0.1650154106879044,0.6393492221832275,0.10473509877920151,1.7433371543884277,0.02294083003071408,0.0224398672580719,0.006642070133239031,0.05777764692902565
9638,1,A2O,A2O,0.5337196875438094,693500.0,large: 10000+,0.7608954837154249,0.7147625684738159,0.09510668367147446,2.1627018451690674,0.021417300864190157,0.02196645736694336,0.005914287641644478,0.06204412505030632
9640,1,A2O,A2O,0.4362945270873606,531000.0,large: 10000+,0.7608954837154249,0.6140086650848389,0.08179503679275513,1.8117607831954956,0.021417300864190157,0.022357815876603127,0.006265555042773485,0.05808458849787712
9650,1,OD,OD,0.4651868387237191,43000.0,large: 10000+,0.1650154106879044,0.5258514881134033,0.09175281971693039,1.359059453010559,0.02294083003071408,0.023192161694169044,0.00738152302801609,0.05455031618475914
9674,1,OD,OD,0.4659296526759863,112000.0,large: 10000+,0.1650154106879044,0.7448959946632385,0.10654271394014359,1.9438667297363281,0.02294083003071408,0.02185903862118721,0.006668764166533947,0.05172470211982727
9683,1,A2O,OD,0.465661282107234,111000.0,large: 10000+,0.7608954837154249,0.7477424740791321,0.10617988556623459,1.9652907848358154,0.021417300864190157,0.02195257879793644,0.006624237634241581,0.05197831243276596
9685,1,OD,OD,0.469738496273756,129500.0,large: 10000+,0.1650154106879044,0.7408234477043152,0.10838363319635391,1.9319301843643188,0.02294083003071408,0.022054754197597504,0.006787737365812063,0.052711643278598785
9688,1,OD,SBR,0.3505045585185289,11000.0,large: 10000+,0.1650154106879044,0.9155508875846863,0.13888706266880035,2.4108169078826904,0.02294083003071408,0.021719371899962425,0.007938985712826252,0.04107259213924408
9693,1,SBR,A2O,0.3166836657077074,115500.0,large: 10000+,1.8718395132955983,0.8608230352401733,0.1190684586763382,2.212387800216675,0.016693715234024208,0.02179986797273159,0.007003499660640955,0.04900724068284035
9715,1,OD,OD,0.6263656071126461,60000.0,large: 10000+,0.1650154106879044,0.5325450301170349,0.09417393058538437,1.3681457042694092,0.02294083003071408,0.022695187479257584,0.006698330864310265,0.06004849076271057
9726,1,OD,OD,0.3673143411427736,160500.0,large: 10000+,0.1650154106879044,0.6024367213249207,0.1141076609492302,1.447953701019287,0.02294083003071408,0.021968521177768707,0.007764201611280441,0.04900950565934181
9768,1,A2O,A2O,0.3895669140219688,24000.0,large: 10000+,0.7608954837154249,0.5650051832199097,0.08546297997236252,1.5928748846054077,0.021417300864190157,0.02226933278143406,0.006507397163659334,0.0542122907936573
9776,1,SBR,A2O,0.3451277548596262,30500.0,large: 10000+,1.8718395132955983,0.5752166509628296,0.09222445636987686,1.548000454902649,0.016693715234024208,0.022406112402677536,0.006748107261955738,0.05276469513773918
9782,1,OD,A2O,0.3342758159786462,36000.0,large: 10000+,0.1650154106879044,0.6038219928741455,0.10808337479829788,1.542765498161316,0.02294083003071408,0.0220936331897974,0.007307783700525761,0.050607215613126755
9792,1,OD,OD,0.4802553587183356,108500.0,large: 10000+,0.1650154106879044,0.5151005983352661,0.08945579826831818,1.358830213546753,0.02294083003071408,0.022864870727062225,0.006604393012821674,0.05626671016216278
9794,1,SBR,OD,0.4649179241508245,143500.0,large: 10000+,1.8718395132955983,0.5203932523727417,0.08929417282342911,1.4194108247756958,0.016693715234024208,0.022698068991303444,0.006655766628682613,0.05636646971106529
9798,1,AO,A2O,0.6339005382806062,25000.0,large: 10000+,0.45442625910922374,0.6576240658760071,0.07462182641029358,2.299867868423462,0.0169423506541553,0.022610848769545555,0.005625945050269365,0.06923146545886993
9804,1,SBR,A2O,0.5875660197883844,101500.0,large: 10000+,1.8718395132955983,0.636300265789032,0.07581870257854462,2.199022054672241,0.016693715234024208,0.022733528167009354,0.005487971007823944,0.06729084253311157
9808,1,AO,A2O,0.6467135709673166,32500.0,large: 10000+,0.45442625910922374,0.6704678535461426,0.07400855422019958,2.376027822494507,0.0169423506541553,0.022523850202560425,0.005346143152564764,0.07080557197332382
9826,1,OD,OD,0.5695660969018936,50500.0,large: 10000+,0.1650154106879044,0.4424556493759155,0.1011570543050766,0.9960703253746033,0.02294083003071408,0.02229001745581627,0.007147365249693394,0.05709297955036163
9832,1,A2O,A2O,0.5441352769881487,22500.0,large: 10000+,0.7608954837154249,0.7082749009132385,0.08929427713155746,2.1897950172424316,0.021417300864190157,0.02346344292163849,0.006917798891663551,0.06449345499277115
9855,1,OD,A2O,0.4474463444799185,20000.0,large: 10000+,0.1650154106879044,0.6713991165161133,0.0874767005443573,1.8763697147369385,0.02294083003071408,0.02144782803952694,0.005990182515233755,0.05554967746138573
9873,1,OD,A2O,0.2624334933571517,16500.0,large: 10000+,0.1650154106879044,0.7647813558578491,0.11068602651357651,2.055504083633423,0.02294083003071408,0.022898126393556595,0.008121555671095848,0.04623432457447052
